@RELATION rain2

@ATTRIBUTE Category { Bomber, C2, ICBM, Recce, SLBM, Tanker }
@ATTRIBUTE Base { Barksdale, Whiteman, Minot, Offutt, Tinker, Malmstrom, FE_Warren, Beale, Whidbey, Rota, KingsBay, Bangor, Mildenhall, NiagaraFalls, Birmingham, Chicago-O-Hare, GenMitchell, McGheeTyson, Fairchild, SaltLakeCity, Lincoln, Pease, Phoenix_Sky_Harbor, Eielson, Pittsburgh, KeyFld, Kadena, Robins, MacDill, Sym.Johnson, GrandForks, Grissom, McConnell, March, McGuire, Rickenbacker, Selfridge, ForbesFld }
@ATTRIBUTE Unit { 2BW, 509BW, 5BW, 1ACCS, TACAMO, STRAT_MCCC, 341MW, 90MW, 91MW, 38SR, 99SR, VQ1, VQ2, Rhode_Island, Maine, Wyoming, Louisiana, Ohio, Michigan, Florida, Georgia, Henry_Jackson, Alabama, Alaska, Nevada, Tennessee, Pennsylvania, West_Virginia, Kentucky, Maryland, Nebraska, 100RW, 101RW, 107RW, 117RW, 126RW, 128RW, 134RW, 141RW, 151RW, 155RW, 157RW, 161RW, 168RS, 171RW, 186RW, 18WG, 19RW, 940RW, 92RW, 6RW, 916RW, 319RW, 434RW, 22RW, 452RW, 108RW, 163RW, 121RW, 507RW, 927RW, 190RW }
@ATTRIBUTE Squadron { 20BS, 20BS-96BS, 393BS, 93BS, 11BS, 23BS, 96BS, 1ACCS, VQ3-VQ3DET, 55WG, 12MS, 319MS, 320MS, 321MS, 400MS, 564MS, 740MS, 741MS, 742MS, 10MS, 490MS, 38SR, 99SR, VQ1, VQ2, Rhode_Island, Maine, Wyoming, Louisiana, Ohio, Michigan, Florida, Georgia, Henry_Jackson, Alabama, Alaska, Nevada, Tennessee, Pennsylvania, West_Virginia, Kentucky, Maryland, Nebraska, 351ARS, 132RS, 136RS, 106RS, 108RS, 126RS, 151RS, 116RS, 191RS, 173RS, 133RS, 197RS, 168RS, 146RS, 153RS, 909RS, 99RS, 314RS, 92RS-93RS, 6RW, 916RW, 905RS-906RS, 72RS-74RS, 344RS-349RS, 72RS, 336RS, 141RS-150RS, 146RS-147RS, 196RS, 145RS-166RS, 465RS, 63RS, 141RS, 145RS, 117RS, 150RS, 166RS, 147RS, 74RS }
@ATTRIBUTE Type { B52, B2, E4, E6, MobileCC, MMIII, Peacekeeper, RC135, U2, EP3, Trident_II, Trident_I, KC135 }
@ATTRIBUTE Model { H, A, B, G, U/V/W, R/S, E, C4, D4/D5, R, R/T, D/E }
@ATTRIBUTE TypeModel { B52H, B2A, E4B, E6A, MobileCCA, MMIIIG, Peacekeeper, RC135U/V/W, U2R/S, EP3E, Trident_II, Trident_IC4, Trident_I, Trident_IID4/D5, KC135R, KC135E, KC135R/T, KC135D/E }
@ATTRIBUTE In_Model { X }
@ATTRIBUTE In_Detail { X }
@ATTRIBUTE ID REAL
@ATTRIBUTE ShortDate REAL
@ATTRIBUTE Forces REAL
@ATTRIBUTE ForcesFx REAL
@ATTRIBUTE Forces(R) REAL
@ATTRIBUTE Forces(R)Fx REAL
@ATTRIBUTE Equipment REAL
@ATTRIBUTE EquipmentFx REAL
@ATTRIBUTE Equipment(R) REAL
@ATTRIBUTE Equipment(R)Fx REAL
@ATTRIBUTE Personnel REAL
@ATTRIBUTE PersonnelFx REAL
@ATTRIBUTE Personnel(R) REAL
@ATTRIBUTE Personnel(R)Fx REAL
@ATTRIBUTE Support REAL
@ATTRIBUTE SupportFx REAL
@ATTRIBUTE Platforms_SORTS_Auth REAL
@ATTRIBUTE Platforms_SORTS_Asgn REAL
@ATTRIBUTE Platforms_SORTS_Rdy REAL
@ATTRIBUTE Platforms_Generated REAL
@ATTRIBUTE Platforms_Alert_Rqd REAL
@ATTRIBUTE Platforms_OnAlert REAL
@ATTRIBUTE Platforms_OffAlert REAL
@ATTRIBUTE Platforms_Auth REAL
@ATTRIBUTE Platforms_Req REAL
@ATTRIBUTE Platforms_Asgn REAL
@ATTRIBUTE Platforms_Poss REAL
@ATTRIBUTE Platforms_NMC REAL
@ATTRIBUTE Platforms_Rdy REAL
@ATTRIBUTE Platforms REAL
@ATTRIBUTE Platforms_Rdy24 REAL
@ATTRIBUTE Platforms_Rdy48 REAL
@ATTRIBUTE Platforms_Rdy72 REAL
@ATTRIBUTE Platforms_Rdy72+ REAL
@ATTRIBUTE Platforms_RdyFx REAL
@ATTRIBUTE PlatformsFx REAL
@ATTRIBUTE Platforms_Rdy24Fx REAL
@ATTRIBUTE Platforms_Rdy48Fx REAL
@ATTRIBUTE Platforms_Rdy72Fx REAL
@ATTRIBUTE Platforms_Rdy72+Fx REAL
@ATTRIBUTE Platforms(R) REAL
@ATTRIBUTE Equipment_Last_Update REAL
@ATTRIBUTE Weapons_Req REAL
@ATTRIBUTE Weapons_Asgn REAL
@ATTRIBUTE Weapons_Poss REAL
@ATTRIBUTE Weapons_NMC REAL
@ATTRIBUTE Weapons_Rdy REAL
@ATTRIBUTE Weapons REAL
@ATTRIBUTE Weapons_RdyFx REAL
@ATTRIBUTE WeaponsFx REAL
@ATTRIBUTE Sensors_Req REAL
@ATTRIBUTE Sensors_Asgn REAL
@ATTRIBUTE Sensors_Poss REAL
@ATTRIBUTE Sensors_NMC REAL
@ATTRIBUTE Sensors_Rdy REAL
@ATTRIBUTE Sensors REAL
@ATTRIBUTE Sensors_RdyFx REAL
@ATTRIBUTE SensorsFx REAL
@ATTRIBUTE Supply_VII_C_Level { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE Supply_VII REAL
@ATTRIBUTE Supply_IX_C_Level { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE Supply_IX REAL
@ATTRIBUTE POL_C_Level { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE POL REAL
@ATTRIBUTE Supply REAL
@ATTRIBUTE SupplyFx REAL
@ATTRIBUTE Supply_NMC_Comment { SHORTAGES_IN_SSS/WING_WORKING_PROBLEM, SHORTAGES_IN_REPAIR_PARTS_GWD_30_SEP_96 }
@ATTRIBUTE Plans_Req REAL
@ATTRIBUTE Plans_Asgn REAL
@ATTRIBUTE Plans_Poss REAL
@ATTRIBUTE Plans_NMC REAL
@ATTRIBUTE Plans_Rdy REAL
@ATTRIBUTE Plans REAL
@ATTRIBUTE Plans_RdyFx REAL
@ATTRIBUTE PlansFx REAL
@ATTRIBUTE S_Equipment_Last_Update REAL
@ATTRIBUTE S_Equipment_Req REAL
@ATTRIBUTE S_Equipment_Asgn REAL
@ATTRIBUTE S_Equipment_Poss REAL
@ATTRIBUTE S_Equipment_NMC REAL
@ATTRIBUTE S_Equipment_Rdy REAL
@ATTRIBUTE S_Equipment REAL
@ATTRIBUTE S_Equipment_RdyFx REAL
@ATTRIBUTE S_EquipmentFx REAL
@ATTRIBUTE Crews_Last_Update REAL
@ATTRIBUTE Crews_Req_Ratio REAL
@ATTRIBUTE Crews_Req REAL
@ATTRIBUTE Crews_Asgn REAL
@ATTRIBUTE Crews_Poss REAL
@ATTRIBUTE Crews_NMR REAL
@ATTRIBUTE Crews_Rdy REAL
@ATTRIBUTE Crews REAL
@ATTRIBUTE Crews_RdyFx REAL
@ATTRIBUTE CrewsFx REAL
@ATTRIBUTE Crews(R) REAL
@ATTRIBUTE Crews_Ratio REAL
@ATTRIBUTE Crews_RatioFx REAL
@ATTRIBUTE S_Personnel_Last_Update REAL
@ATTRIBUTE S_Personnel_Req REAL
@ATTRIBUTE S_Personnel_Asgn REAL
@ATTRIBUTE S_Personnel_Poss REAL
@ATTRIBUTE S_Personnel_NMR REAL
@ATTRIBUTE S_Personnel_Rdy REAL
@ATTRIBUTE S_Personnel REAL
@ATTRIBUTE S_Personnel_RdyFx REAL
@ATTRIBUTE S_PersonnelFx REAL
@ATTRIBUTE S_Personnel_Critical_Rqd REAL
@ATTRIBUTE S_Personnel_Critical_Asgn REAL
@ATTRIBUTE SORTS_Last_Update REAL
@ATTRIBUTE SORTS_Personnel { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Personnel_Comment { personnel_shortage }
@ATTRIBUTE SORTS_Equipment { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Equipment_Comment { depot_modification,shortage }
@ATTRIBUTE SORTS_Equipment_Cond { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Equipment_Cond_Comment { not_mission_capable, damaged/inoperative }
@ATTRIBUTE SORTS_Training { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Training_Comment { training_incomplete }
@ATTRIBUTE SORTS_Overall { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Overall_Comment { overall_C-level_capped_below_C-1, overall_C-level_subjectively_changed, overall_C-level_most_affected_by_training, overall_C-level_most_affected_by_equipment_and_sup, overall_C-level_most_affected_by_personnel }
@ATTRIBUTE SORTS_Overall_ETIC { C-0, C-1, C-2, C-3, C-4, C-5 }
@ATTRIBUTE SORTS_Overall_ETIC_Date REAL
@ATTRIBUTE Tr { A, B, C, D }

@data

Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,10,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,A
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,10,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,B
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,10,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,C
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,10,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,D
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,11,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,A
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,11,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,B
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,11,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,C
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,11,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,D
Bomber,Barksdale,2BW,20BS-96BS,B52,H,B52H,X,?,20,12,0.93,0.93,0.93,0.93,1.00,1.00,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,36.00,36.00,36.00,0.00,0.00,0.00,0.00,32.00,34.00,48.00,42.00,2.00,40.00,1.17,0.00,0.00,0.00,0.00,40.00,1.17,1.00,1.00,1.00,1.00,1.48,0,460.00,0.00,0.00,0.00,460.00,1.00,460.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,?,1.00,C-1,1.00,C-1,0.93,C-1,1.00,1.00,1.00,?,34.00,0.00,0.00,0.00,34.00,1.00,34.00,1.00,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0,48.00,42.00,43.00,0.00,0.00,43.00,1.02,43.00,1.02,1.20,0.89,0.89,0,2331.00,2213.00,0.00,0.00,2169.00,0.93,2169.00,0.93,2223.00,2096.00,0,?,?,?,?,?,?,?,?,?,?,?,?,A
