class,crime,zoned,industrial,charles,nitricOxide,rooms,age,commute,roads,tax,schools,minority,lstat
0-10K,20.0849,0,18.1,0,0.7,4.368,91.199997,1.4395,24,666,20.200001,285.829987,30.629999
10-20K,0.17004,12.5,7.87,0,0.524,6.004,85.900002,6.5921,5,311,15.2,386.709991,17.1
20-30K,0.00632,18,2.31,0,0.538,6.575,65.199997,4.09,1,296,15.3,396.899994,4.98
20-30K,0.02731,0,7.07,0,0.469,6.421,78.900002,4.9671,2,242,17.799999,396.899994,9.14
30-40K,0.02729,0,7.07,0,0.469,7.185,61.099998,4.9671,2,242,17.799999,392.829987,4.03
40-50K,0.08187,0,2.89,0,0.445,7.82,36.900002,3.4952,2,276,18,393.529999,3.57
30-40K,0.03237,0,2.18,0,0.458,6.998,45.799999,6.0622,3,222,18.700001,394.630005,2.94
30-40K,0.06905,0,2.18,0,0.458,7.147,54.200001,6.0622,3,222,18.700001,396.899994,5.33
20-30K,0.02985,0,2.18,0,0.458,6.43,58.700001,6.0622,3,222,18.700001,394.119995,5.21
20-30K,0.08829,12.5,7.87,0,0.524,6.012,66.599998,5.5605,5,311,15.2,395.600006,12.43
20-30K,0.14455,12.5,7.87,0,0.524,6.172,96.099998,5.9505,5,311,15.2,396.899994,19.15
10-20K,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.630005,29.93
10-20K,0.22489,12.5,7.87,0,0.524,6.377,94.300003,6.3467,5,311,15.2,392.519989,20.450001
10-20K,0.11747,12.5,7.87,0,0.524,6.009,82.900002,6.2267,5,311,15.2,396.899994,13.27
20-30K,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
20-30K,0.62976,0,8.14,0,0.538,5.949,61.799999,4.7075,4,307,21,396.899994,8.26
10-20K,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.019989,10.26
10-20K,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.619995,8.47
