124.54409,51.29135,Centroid,zoned,commute,charles
168.64821,51.29132,Centroid,charles,commute,minority
185.14407,93.98831,Centroid,zoned,commute,minority
241.69882,66.57898,Centroid,industrial,charles,age
395.06223,114.618256,Centroid,crime,roads,industrial
394.83572,113.19052,crime,roads,industrial
181.5243,50.75406,charles,commute,minority
167.98308,58.071228,charles,commute,minority
141.91281,34.554108,zoned,commute,charles
139.27756,40.919495,zoned,commute,charles
155.08864,56.685425,charles,commute,minority
125.23119,42.44873,zoned,commute,charles
126.456055,39.45761,zoned,commute,charles
127.28738,37.77716,zoned,commute,charles
178.01952,58.024567,charles,commute,minority
182.6229,47.37677,charles,commute,minority
183.95657,45.265656,charles,commute,minority
182.59064,47.835358,charles,commute,minority
180.47374,52.278534,charles,commute,minority
174.09781,67.51245,charles,commute,minority
176.79648,54.06183,charles,commute,minority
181.18285,45.394623,charles,commute,minority
176.05156,55.884552,charles,commute,minority
172.27403,65.306244,charles,commute,minority
180.5015,46.43396,charles,commute,minority
178.44992,59.352325,charles,commute,minority
178.34825,51.004944,charles,commute,minority
183.66998,40.04532,charles,commute,minority
181.34814,43.988068,charles,commute,minority
181.61003,43.06006,charles,commute,minority
183.0283,40.003815,charles,commute,minority
182.05739,42.229126,charles,commute,minority
185.36507,42.262726,charles,commute,minority
182.3234,43.07483,charles,commute,minority
185.70728,41.23181,charles,commute,minority
182.35576,42.04883,charles,commute,minority
181.63866,44.339447,charles,commute,minority
183.9118,40.886353,charles,commute,minority
183.79248,39.684296,charles,commute,minority
188.60242,40.857574,charles,commute,minority
184.03937,40.668243,charles,commute,minority
189.95555,36.353516,charles,commute,minority
161.653,45.965576,charles,commute,minority
161.61908,47.686096,charles,commute,minority
157.52411,55.473114,charles,commute,minority
155.98894,59.31125,charles,commute,minority
127.03634,86.86511,zoned,commute,charles
126.06669,89.07788,zoned,commute,charles
125.52991,59.412994,zoned,commute,charles
126.22241,57.99936,zoned,commute,charles
125.67887,58.332275,zoned,commute,charles
131.13054,46.222504,zoned,commute,charles
129.815,48.61963,zoned,commute,charles
129.81638,48.650513,zoned,commute,charles
138.14502,29.867157,zoned,commute,charles
139.68106,26.087402,zoned,commute,charles
134.26605,38.433014,zoned,commute,charles
134.22803,54.731476,zoned,commute,charles
136.88933,48.70117,zoned,commute,charles
130.21265,63.793884,zoned,commute,charles
130.32222,63.569824,zoned,commute,charles
256.31763,122.450134,industrial,charles,age
109.6717,87.49722,zoned,commute,charles
162.69324,98.750885,zoned,commute,minority
128.40121,91.04901,zoned,commute,charles
154.85956,70.75293,charles,commute,minority
157.36691,64.46582,charles,commute,minority
160.45683,57.538513,charles,commute,minority
165.52988,47.294464,charles,commute,minority
160.4836,57.269196,charles,commute,minority
156.84673,65.788055,charles,commute,minority
121.26869,43.163513,zoned,commute,charles
174.61072,107.97897,zoned,commute,minority
176.76823,103.05966,zoned,commute,minority
190.52998,81.33917,zoned,commute,minority
192.96397,75.71988,zoned,commute,minority
192.29341,77.22626,zoned,commute,minority
167.80554,72.78302,charles,commute,minority
169.88924,68.58411,charles,commute,minority
167.60385,72.63376,charles,commute,minority
168.09245,72.681885,charles,commute,minority
220.82864,92.57953,zoned,commute,minority
227.46028,78.31247,industrial,charles,age
232.54523,67.428406,industrial,charles,age
227.42413,78.08896,industrial,charles,age
228.70271,75.22012,industrial,charles,age
225.52333,81.69592,industrial,charles,age
153.41298,68.84979,charles,commute,minority
159.19203,55.664825,charles,commute,minority
153.24207,69.25656,charles,commute,minority
155.80493,63.888184,charles,commute,minority
140.04,46.582672,zoned,commute,charles
141.45891,43.670746,zoned,commute,charles
139.70717,47.450348,zoned,commute,charles
141.46577,43.424652,zoned,commute,charles
159.10167,37.95807,charles,commute,minority
155.5792,46.142242,charles,commute,minority
156.30174,44.8291,charles,commute,minority
157.42021,42.132812,charles,commute,minority
149.95374,60.109406,charles,commute,minority
146.04892,68.97427,zoned,commute,charles
153.55292,51.682617,charles,commute,minority
160.1638,48.017303,charles,commute,minority
160.36191,44.755035,charles,commute,minority
160.94548,42.91925,charles,commute,minority
158.90901,47.62732,charles,commute,minority
224.1507,63.464325,industrial,charles,age
222.75081,66.604675,industrial,charles,age
241.39748,51.00952,industrial,charles,age
225.4005,60.645935,industrial,charles,age
225.87001,59.70108,industrial,charles,age
226.91676,57.208893,industrial,charles,age
226.1395,58.882904,industrial,charles,age
225.42133,61.166748,industrial,charles,age
226.83151,57.27124,industrial,charles,age
226.19186,59.112244,industrial,charles,age
220.36414,72.32321,industrial,charles,age
