 1483  STARS OF MAGNITUDE  5.000 AND BRIGHTER                   TOTAL   1483
    1  4.523 K0     15.3907   85.9900  .0674226  .0185595  .9975519  1980006
    2  2.117 F8V    27.2324   89.0288  .0150715  .0077565  .9998563  1980010
    3  4.578 K2    142.5295   81.5499 -.1166278  .0893962  .9891442  1980042
    4  4.398 G5    252.7546   82.1227 -.0406312 -.1308910  .9905638  1980069
    5  4.438 A0    267.0781   86.6102 -.0030140 -.0590511  .9982504  1980072
    6  4.969 K0    341.9356   82.8893  .1176858 -.0383848  .9923087  1980098
    7  4.961 K5    343.7316   84.0792  .0990237 -.0288974  .9946654  1980100
    8  4.609 A3     29.4501   70.6660  .2882942  .1627776  .9436047  1870035
    9  4.063 A2     29.7783   72.1811  .2656019  .1519782  .9520285  1870038
   10  4.891 A2     46.6162   74.2052  .1869640  .1978211  .9622428  1870049
   11  4.672 A0     56.2616   71.1806  .1791649  .2682570  .9465401  1870060
   12  4.750 K5    103.2049   77.0453 -.0512105  .2182526  .9745477  1870100
   13  4.570 G0    142.5223   70.0526 -.2707391  .2075778  .9400063  1870122
   14  3.883 B5P   187.8379   70.0637 -.3377899 -.0464992  .9400722  1870154
   15  5.000 K0    212.2506   77.7828 -.1789709 -.1129248  .9773522  1870169
   16  4.367 K2    216.9010   75.9185 -.1945624 -.1460868  .9699506  1870170
   17  2.242 K5    222.7055   74.3600 -.1981099 -.1828455  .9629745  1870172
   18  3.141 A2    230.1965   72.0121 -.1976905 -.2372457  .9511220  1870178
   19  4.344 A2    236.4499   77.9492 -.1153853 -.1739976  .9779627  1870180
   20  4.898 F5    265.7059   72.1711 -.0229253 -.3053162  .9519750  1870209
   21  4.242 A0P   275.3684   71.3122  .0299777 -.3190064  .9472783  1870219
   22  3.688 F8    275.5083   72.7079  .0285323 -.2958708  .9548017  1870220
   23  4.906 K0    283.7553   71.2313  .0765043 -.3125213  .9468250  1870230
   24  4.633 K0    289.1258   73.2645  .0943464 -.2720594  .9576442  1870235
   25  3.992 K0    297.0902   70.1411  .1546992 -.3024357  .9405322  1870241
   26  4.430 B9    302.6529   77.5621  .1162090 -.1813420  .9765298  1870246
   27  3.328 B1    322.0058   70.3412  .2651222 -.2070926  .9417127  1870260
