@relation MIDB

@attribute e.EQP_SK  real                			 
@attribute e.EQP_CODE {TI5NA, TI5CA, TJ5NA, TI5NE, TI5NK, TI5NP, TI6BI}                         
@attribute f.CATEGORY {80000}                       
@attribute u.UNIT_ID {DBAKN12345}                             
@attribute u.UNIT_NUM real                        	
@attribute e.CC {KN}                                                              	
@attribute e.OB_TYPE {A}   	
@attribute e.OPER_STATUS  {NOP, OPR}                   	
@attribute e.COORD_LAT_N real
@attribute e.COORD_LONG_E real                                  
@attribute e.DATETIME_LAST_CHG  real     
@attribute f.BE_NUMBER   {0290, 0290-0001, 0290-0002, 0290-0003, 0290-0004, 0290-0005, 0290-0006, 0290-0007, 0290-0008, 0290-0009, 0290-00010, 0290-00011, 0290-00012, 0290-00013, 0290-00014, 0290-00015}                  	 
@attribute e.NOMEN  {SA-2, SA-3, SA-13}
                               	
@data
10001001012345,TI5NA,80000,DBAKN12345,000001,KN,A,OPR,40000000,128000000,19970101235959,0290,SA-2
10001001012346,TI5NA,80000,DBAKN12345,000002,KN,A,OPR,39500000,127500000,19970101225959,0290,SA-2
10001001012347,TI5CA,80000,DBAKN12345,000003,KN,A,NOP,39400000,127400000,19970101215959,0290,SA-3
10001001012348,TI5CA,80000,DBAKN12345,000004,KN,A,NOP,39300000,127300000,19970101205959,0290,SA-3
10001001012349,TJ5NA,80000,DBAKN12345,000006,KN,A,OPR,39200000,127200000,19970101205959,0290,SA-2
10001001012350,TI5CA,80000,DBAKN12345,000007,KN,A,NOP,39100000,127100000,19970101235959,0290-0001,SA-3
10001001012351,TI5NE,80000,DBAKN12345,000008,KN,A,NOP,39000000,127000000,19970101025959,0290-0002,SA-2
10001001012352,TI5NK,80000,DBAKN12345,000009,KN,A,OPR,38500000,126500000,19970101215959,0290-0003,SA-3
10001001012353,TI5NP,80000,DBAKN12345,000010,KN,A,NOP,38400000,126400000,19970101205959,0290-0004,SA-13
10001001012354,TI6BI,80000,DBAKN12345,000011,KN,A,NOP,38300000,126300000,19970101205959,0290-0005,SA-13
10001001012345,TI5NA,80000,DBAKN12345,000001,KN,A,OPR,40000000,128000000,19970101235959,0290,SA-2
10001001012346,TI5NA,80000,DBAKN12345,000002,KN,A,OPR,39500000,127500000,19970101225959,0290,SA-2
10001001012347,TI5CA,80000,DBAKN12345,000003,KN,A,NOP,39400000,127400000,19970101215959,0290,SA-3
10001001012348,TI5CA,80000,DBAKN12345,000004,KN,A,NOP,39300000,127300000,19970101205959,0290,SA-3
10001001012349,TJ5NA,80000,DBAKN12345,000006,KN,A,OPR,39200000,127200000,19970101205959,0290,SA-2
10001001012350,TI5CA,80000,DBAKN12345,000007,KN,A,NOP,39100000,127100000,19970101235959,0290-0006,SA-3
10001001012351,TI5NE,80000,DBAKN12345,000008,KN,A,NOP,39000000,127000000,19970101025959,0290-0007,SA-2
10001001012352,TI5NK,80000,DBAKN12345,000009,KN,A,OPR,38500000,126500000,19970101215959,0290-0008,SA-3
10001001012353,TI5NP,80000,DBAKN12345,000010,KN,A,OPR,38400000,126400000,19970101045959,0290-0009,SA-13
10001001012354,TI6BI,80000,DBAKN12345,000011,KN,A,NOP,38300000,126300000,19970101205959,0290-00010,SA-13
10001001012345,TI5NA,80000,DBAKN12345,000001,KN,A,OPR,40000000,128000000,19970101235959,0290,SA-2
10001001012346,TI5NA,80000,DBAKN12345,000002,KN,A,OPR,39500000,127500000,19970101225959,0290,SA-2
10001001012347,TI5CA,80000,DBAKN12345,000003,KN,A,NOP,39400000,127400000,19970101215959,0290,SA-3
10001001012348,TI5CA,80000,DBAKN12345,000004,KN,A,NOP,39300000,127300000,19970101205959,0290,SA-3
10001001012349,TJ5NA,80000,DBAKN12345,000006,KN,A,OPR,39200000,127200000,19970101205959,0290,SA-2
10001001012350,TI5CA,80000,DBAKN12345,000007,KN,A,NOP,39100000,127100000,19970101235959,0290-00011,SA-3
10001001012351,TI5NE,80000,DBAKN12345,000008,KN,A,NOP,39000000,127000000,19970101025959,0290-00012,SA-2
10001001012352,TI5NK,80000,DBAKN12345,000009,KN,A,OPR,38500000,126500000,19970101215959,0290-00013,SA-3
10001001012353,TI5NP,80000,DBAKN12345,000010,KN,A,NOP,38400000,126400000,19970101205959,0290-00014,SA-13
10001001012354,TI6BI,80000,DBAKN12345,000011,KN,A,OPR,38300000,126300000,19970101055959,0290-00015,SA-13
